,date,highest,lowest,weather,wind
0,2011-07-01  ,33℃,26℃,阵雨~多云,南风 3-4级
1,2011-07-02  ,36℃,28℃,雷阵雨~多云,西南风 3-4级
2,2011-07-03  ,37℃,29℃,多云,西南风 3-4级
3,2011-07-04  ,36℃,27℃,雷阵雨,西风~东风 3-4级
4,2011-07-05  ,31℃,27℃,雷阵雨~阵雨,东南风~南风 3-4级
5,2011-07-06  ,36℃,29℃,多云,西南风 3-4级
6,2011-07-07  ,37℃,27℃,多云,西南风 3-4级
7,2011-07-08  ,33℃,26℃,雷阵雨,南风 3-4级
8,2011-07-09  ,31℃,26℃,阵雨~多云,东风~东南风 3-4级
9,2011-07-10  ,32℃,26℃,阵雨~多云,东南风 4-5级
10,2011-07-11  ,32℃,26℃,阴,东南风 4-5级
11,2011-07-12  ,31℃,26℃,阵雨,东南风 4-5级
12,2011-07-13  ,32℃,27℃,阵雨,东南风 4-5级
13,2011-07-14  ,32℃,27℃,阵雨~多云,南风 4-5级
14,2011-07-15  ,32℃,27℃,雷阵雨,北风~东南风 3-4级~4-5级
15,2011-07-16  ,34℃,27℃,多云,南风~东南风 4-5级
16,2011-07-17  ,33℃,27℃,阵雨~多云,东南风 4-5级
17,2011-07-18  ,33℃,26℃,多云,东风~东北风 3-4级
18,2011-07-19  ,33℃,26℃,多云~阵雨,北风 3-4级
19,2011-07-20  ,34℃,27℃,雷阵雨~多云,西北风~东南风 3-4级
20,2011-07-21  ,34℃,28℃,多云,东南风 3-4级
21,2011-07-22  ,35℃,27℃,雷阵雨~多云,东南风 3-4级
22,2011-07-23  ,36℃,28℃,多云,东风~东南风 3-4级
23,2011-07-24  ,35℃,28℃,雷阵雨~多云,东南风 3-4级
24,2011-07-25  ,36℃,28℃,多云,南风 3-4级
25,2011-07-26  ,37℃,28℃,雷阵雨~多云,南风 4-5级
26,2011-07-27  ,37℃,28℃,多云,南风 4-5级
27,2011-07-28  ,36℃,28℃,晴,南风 4-5级
28,2011-07-29  ,37℃,28℃,晴,南风 3-4级
29,2011-07-30  ,37℃,28℃,多云,南风 3-4级
30,2011-07-31  ,36℃,28℃,雷阵雨,南风~东南风 3-4级
31,2011-11-01  ,23℃,20℃,多云~阴,东风 3-4级
32,2011-11-02  ,21℃,20℃,阵雨,东北风 3-4级~4-5级
33,2011-11-03  ,24℃,20℃,多云~阵雨,东北风~东风 3-4级
34,2011-11-04  ,25℃,20℃,阵雨,东风~东南风 3-4级
35,2011-11-05  ,24℃,19℃,阵雨,东北风 3-4级
36,2011-11-06  ,20℃,16℃,小雨~阴,东北风 3-4级
37,2011-11-07  ,20℃,16℃,小雨,东北风 3-4级
38,2011-11-08  ,19℃,15℃,小雨~阵雨,东北风 3-4级~4-5级
39,2011-11-09  ,18℃,14℃,小雨,北风 3-4级
40,2011-11-10  ,16℃,10℃,小雨~多云,北风 4-5级
41,2011-11-11  ,18℃,10℃,多云,北风 3-4级
42,2011-11-12  ,20℃,11℃,多云,无持续风向~北风 微风~3-4级
43,2011-11-13  ,20℃,14℃,晴,无持续风向 微风
44,2011-11-14  ,19℃,13℃,多云,北风~东北风 3-4级
45,2011-11-15  ,20℃,15℃,多云,东风 3-4级
46,2011-11-16  ,21℃,18℃,多云~小雨,东风~东南风 4-5级
47,2011-11-17  ,23℃,20℃,阵雨,东南风 4-5级
48,2011-11-18  ,25℃,18℃,阵雨~中雨,南风 3-4级
49,2011-11-19  ,17℃,10℃,小雨~阴,北风 4-5级
50,2011-11-20  ,15℃,9℃,多云~晴,北风~东北风 4-5级~3-4级
51,2011-11-21  ,16℃,11℃,晴~多云,东北风~东风 3-4级
52,2011-11-22  ,18℃,10℃,多云,南风~西北风 3-4级~4-5级
53,2011-11-23  ,15℃,8℃,晴,西北风 4-5级~3-4级
54,2011-11-24  ,14℃,10℃,晴,东北风~东南风 3-4级
55,2011-11-25  ,18℃,13℃,多云,东南风 3-4级
56,2011-11-26  ,20℃,16℃,多云,东南风 4-5级
57,2011-11-27  ,21℃,15℃,晴~多云,南风~东南风 3-4级
58,2011-11-28  ,22℃,16℃,多云~阴,东风 3-4级
59,2011-11-29  ,21℃,15℃,阴~阵雨,东北风 3-4级
60,2011-11-30  ,18℃,9℃,小雨,东北风 4-5级
61,2012-02-01  ,8℃,0℃,阴~多云,北风 4-5级~3-4级
62,2012-02-02  ,3℃,-1℃,多云,北风 4-5级~3-4级
