,date,highest,lowest,weather,wind
0,2011-01-01  ,0℃,-4℃,晴,北风 4-5级
1,2011-01-02  ,0℃,-3℃,晴,北风~西北风 4-5级~3-4级
2,2011-01-03  ,2℃,-5℃,多云~阵雪,西北风~北风 3-4级~5-6级
3,2011-01-04  ,0℃,-7℃,阵雪~中雪,北风 5-6级
4,2011-01-05  ,-3℃,-5℃,中雪~阵雪,北风 5-6级
5,2011-01-06  ,-1℃,-4℃,多云,西北风 4-5级
6,2011-01-07  ,-2℃,-5℃,阵雪,北风 5-6级
7,2011-01-08  ,0℃,-2℃,晴,西北风 4-5级~3-4级
8,2011-01-09  ,-1℃,-5℃,多云,北风 4-5级
9,2011-01-10  ,-2℃,-5℃,阵雪~多云,北风 4-5级
10,2011-01-11  ,0℃,-4℃,晴,北风 3-4级
11,2011-01-12  ,1℃,-4℃,阴~阵雪,北风 4-5级
12,2011-01-13  ,0℃,-5℃,阴~多云,北风 4-5级~5-6级
13,2011-01-14  ,-2℃,-5℃,阵雪,北风 5-6级~4-5级
14,2011-01-15  ,-2℃,-6℃,阵雪,西北风~北风 5-6级
15,2011-01-16  ,-4℃,-6℃,晴~多云,北风 4-5级
16,2011-01-26  ,0℃,-5℃,晴~多云,北风 4-5级
17,2011-01-29  ,-4℃,-9℃,小到中雪,北风 5-6级
18,2011-01-30  ,-3℃,-6℃,阵雪~多云,西北风~西风 4-5级
19,2011-01-31  ,4℃,-5℃,晴~多云,西风~西南风 3-4级
20,2011-02-01  ,5℃,0℃,晴~多云,西南风 3-4级
21,2011-02-02  ,6℃,0℃,多云,西南风~西北风 3-4级
22,2011-02-03  ,6℃,-1℃,多云~晴,西南风~北风 3-4级
23,2011-02-04  ,3℃,-4℃,多云~晴,北风 4-5级
24,2011-02-05  ,8℃,-3℃,晴~多云,西南风~北风 4-5级
25,2011-02-06  ,4℃,-1℃,多云~晴,北风~南风 3-4级
26,2011-02-07  ,5℃,-1℃,多云~雨夹雪,南风~东北风 3-4级
27,2011-02-08  ,3℃,-3℃,阴~多云,东南风~东北风 3-4级~5-6级
28,2011-02-09  ,1℃,-4℃,晴~多云,北风 4-5级
29,2011-02-10  ,-1℃,-5℃,晴~多云,北风 4-5级
30,2011-02-11  ,-2℃,-6℃,阵雪,北风 4-5级~5-6级
31,2011-02-12  ,-3℃,-7℃,晴~多云,北风 6-7级~4-5级
32,2011-02-13  ,-3℃,-6℃,阵雪,北风 5-6级
33,2011-02-14  ,-3℃,-5℃,多云~晴,北风~西南风 5-6级~3-4级
34,2011-02-15  ,3℃,-2℃,晴~多云,西风~西南风 3-4级
35,2011-02-16  ,2℃,-5℃,多云~阴,西南风~北风 4-5级
36,2011-02-17  ,2℃,-4℃,多云~晴,北风 4-5级
37,2011-02-18  ,5℃,-1℃,晴,北风 3-4级
38,2011-02-19  ,5℃,0℃,晴,西南风 3-4级
39,2011-02-20  ,8℃,1℃,晴~多云,北风~南风 3-4级
40,2011-02-21  ,7℃,-2℃,晴~多云,南风 3-4级
41,2011-02-22  ,9℃,0℃,多云~晴,南风 3-4级
42,2011-02-23  ,12℃,3℃,晴,西南风 4-5级
43,2011-02-24  ,8℃,0℃,多云,西南风~东北风 4-5级
44,2011-02-25  ,7℃,0℃,多云,东北风~东南风 4-5级
45,2011-02-26  ,4℃,-1℃,小雨~小到中雨,东南风~东北风 4-5级
46,2011-02-27  ,3℃,-1℃,雨夹雪~多云,东北风 5-6级
47,2011-02-28  ,1℃,-3℃,阵雪~多云,北风 5-6级~4-5级
